Date,fx,reserve,GDP,CPI
1970-03-01,58.21,43975.00,32.21,30.90
1970-06-01,57.91,45686.00,32.56,31.37
1970-09-01,57.33,47236.00,35.36,31.67
1970-12-01,58.33,49323.33,40.21,32.50
1971-03-01,58.15,51134.67,33.84,32.83
1971-06-01,58.57,53118.00,33.87,33.60
1971-09-01,59.87,55386.00,36.66,33.97
1971-12-01,63.72,57237.33,41.99,34.43
1972-03-01,66.10,59307.00,36.50,34.70
1972-06-01,67.46,62528.33,36.50,35.40
1972-09-01,67.86,65664.00,39.79,35.77
1972-12-01,68.49,70154.33,45.83,36.53
1973-03-01,73.05,77073.67,40.39,37.40
1973-06-01,76.83,85912.67,39.99,39.07
1973-09-01,75.38,92353.67,42.76,40.30
1973-12-01,74.53,98393.67,47.98,42.13
1974-03-01,75.07,103545.33,39.23,45.50
1974-06-01,77.17,108843.33,39.49,47.57
1974-09-01,73.55,114229.33,42.77,49.03
1974-12-01,73.64,116386.67,47.54,51.63
1975-03-01,74.13,121082.00,39.75,52.47
1975-06-01,74.59,124488.33,40.67,53.97
1975-09-01,74.52,127752.00,43.72,54.67
1975-12-01,74.26,128280.67,49.29,55.87
1976-03-01,75.44,126765.33,42.22,57.00
1976-06-01,78.28,129449.33,42.86,58.83
1976-09-01,80.32,132186.00,45.78,59.60
1976-12-01,80.49,135165.67,50.87,61.10
1977-03-01,82.55,137763.33,44.42,62.03
1977-06-01,85.74,141274.00,45.22,63.80
1977-09-01,86.73,144789.00,47.90,64.53
1977-12-01,92.44,143836.00,53.81,65.43
1978-03-01,92.60,147886.67,46.68,65.70
1978-06-01,99.87,154024.00,47.23,67.07
1978-09-01,110.44,157562.00,50.45,67.47
1978-12-01,108.53,163142.00,56.74,68.17
1979-03-01,99.87,166089.67,49.08,68.17
1979-06-01,91.96,168723.67,49.93,69.27
1979-09-01,88.03,172108.67,50.40,69.70
1979-12-01,79.94,175370.67,50.84,70.57
1980-03-01,77.35,180668.67,51.59,71.20
1980-06-01,81.57,192868.00,51.32,73.37
1980-09-01,83.77,192583.67,52.47,74.20
1980-12-01,88.02,191895.00,53.58,75.37
1981-03-01,90.80,190395.00,53.91,75.53
1981-06-01,87.20,188111.67,54.57,76.90
1981-09-01,83.42,190990.67,54.45,77.30
1981-12-01,84.05,194228.33,54.85,78.33
1982-03-01,81.35,195855.00,55.69,78.10
1982-06-01,78.88,201805.00,56.07,79.23
1982-09-01,75.23,205652.33,56.31,79.50
1982-12-01,76.31,209611.67,57.10,80.43
1983-03-01,82.81,211513.00,57.13,79.93
1983-06-01,83.21,213730.00,57.56,81.07
1983-09-01,82.06,215850.67,58.42,81.17
1983-12-01,85.52,219460.33,58.91,82.20
1984-03-01,86.45,220149.67,59.59,81.97
1984-06-01,86.98,223012.00,60.49,83.07
1984-09-01,83.73,227234.33,61.23,83.17
1984-12-01,84.70,232450.00,61.34,84.27
1985-03-01,82.66,236586.00,62.84,84.20
1985-06-01,83.12,238285.00,64.11,85.10
1985-09-01,84.85,241800.67,64.95,85.20
1985-12-01,94.80,246777.33,65.81,85.77
1986-03-01,101.54,251662.00,66.08,85.73
1986-06-01,110.34,255218.00,65.91,86.50
1986-09-01,117.18,256892.67,66.30,86.50
1986-12-01,112.19,268936.67,66.82,87.00
1987-03-01,111.97,278803.33,66.77,86.67
1987-06-01,118.01,285895.67,68.17,87.23
1987-09-01,113.09,294001.67,69.54,87.27
1987-12-01,118.50,301662.33,71.33,87.60
1988-03-01,122.01,308886.67,73.03,87.27
1988-06-01,123.06,319548.67,72.92,87.87
1988-09-01,117.89,325991.67,74.55,87.77
1988-12-01,122.77,332462.00,75.34,88.40
1989-03-01,118.49,343301.00,77.37,88.20
1989-06-01,112.79,354244.67,76.36,90.40
1989-09-01,108.49,362266.33,77.69,90.50
1989-12-01,106.01,372268.67,80.10,91.10
1990-03-01,99.45,383390.00,79.72,91.10
1990-06-01,94.50,392948.00,82.23,92.27
1990-09-01,97.54,395267.33,83.61,92.60
1990-12-01,106.35,396994.00,83.45,93.57
1991-03-01,104.10,398589.67,84.18,93.83
1991-06-01,104.88,401205.33,85.18,95.07
1991-09-01,105.51,400954.33,84.99,95.37
1991-12-01,109.05,391618.33,85.59,96.13
1992-03-01,108.55,386678.00,85.62,96.20
1992-06-01,107.21,386645.00,85.92,97.70
1992-09-01,107.55,390536.33,86.02,97.67
1992-12-01,113.44,392955.00,85.47,98.27
1993-03-01,117.13,395537.00,86.43,97.97
1993-06-01,127.96,401181.00,85.88,99.00
1993-09-01,135.74,404153.67,85.27,98.93
1993-12-01,131.45,409096.67,85.80,99.33
1994-03-01,131.45,413203.00,86.38,99.03
1994-06-01,134.72,418076.67,85.96,100.13
1994-09-01,135.65,425903.33,86.93,99.80
1994-12-01,134.40,427056.00,86.58,99.97
1995-03-01,135.27,430426.33,87.57,99.53
1995-06-01,149.41,435723.67,88.49,100.03
1995-09-01,133.95,444874.00,89.52,99.80
1995-12-01,123.09,455445.33,89.73,100.23
1996-03-01,117.20,466488.67,90.46,99.77
1996-06-01,115.28,475002.33,91.59,100.37
1996-09-01,112.82,481600.67,91.63,100.23
1996-12-01,108.74,488640.33,92.69,100.63
1997-03-01,102.15,500809.00,92.96,100.13
1997-06-01,106.31,508000.00,92.34,102.30
1997-09-01,110.14,516907.00,92.55,102.30
1997-12-01,107.60,531712.67,92.58,102.90
1998-03-01,110.18,548460.33,91.54,102.20
1998-06-01,102.34,555638.00,91.16,102.77
1998-09-01,99.35,562077.33,91.32,102.47
1998-12-01,113.51,568031.33,92.03,102.90
1999-03-01,115.88,576713.33,90.87,102.33
1999-06-01,112.66,593945.67,91.18,102.83
1999-09-01,119.91,603771.33,91.69,102.57
1999-12-01,129.00,622679.33,91.75,102.73
2000-03-01,124.75,660261.67,93.40,102.03
2000-06-01,127.13,643279.00,93.66,102.27
2000-09-01,126.48,632380.33,93.74,101.93
2000-12-01,125.38,643799.33,94.65,101.73
2001-03-01,114.93,657536.67,95.17,101.00
2001-06-01,112.19,671371.67,94.70,101.27
2001-09-01,112.22,697878.00,93.73,101.07
2001-12-01,110.00,745722.67,93.44,100.90
2002-03-01,101.89,840735.00,93.61,100.20
2002-06-01,104.39,878579.33,94.30,100.53
2002-09-01,108.69,866445.00,94.60,100.27
2002-12-01,105.19,899062.00,94.84,100.20
2003-03-01,104.77,944187.33,94.92,99.53
2003-06-01,103.58,1018967.33,95.52,100.00
2003-09-01,104.08,1044592.67,95.89,100.07
2003-12-01,109.31,1050428.67,96.95,100.10
2004-03-01,107.94,1075090.33,97.64,99.47
2004-06-01,105.92,1081642.33,97.65,99.80
2004-09-01,104.97,1092895.33,98.25,99.70
2004-12-01,106.42,1096712.33,98.05,99.63
2005-03-01,104.65,1100873.00,98.54,99.07
2005-06-01,102.01,1107025.00,99.19,99.40
2005-09-01,98.53,1108045.00,100.14,99.17
2005-12-01,93.35,1116070.33,100.32,99.13
2006-03-01,91.46,1109677.00,100.51,98.47
2006-06-01,91.65,963965.67,100.75,98.87
2006-09-01,89.92,888841.67,100.57,98.87
2006-12-01,87.39,880200.67,101.88,98.93
2007-03-01,83.99,882906.33,102.63,98.37
2007-06-01,81.25,889704.67,102.75,98.73
2007-09-01,81.86,886378.67,102.24,98.70
2007-12-01,82.55,886776.33,102.72,98.93
2008-03-01,85.57,883176.33,102.99,98.67
2008-06-01,84.37,878253.33,102.60,99.43
2008-09-01,83.26,886393.67,101.32,99.80
2008-12-01,101.00,902713.33,98.86,100.00
2009-03-01,104.19,936139.00,94.13,99.27
2009-06-01,96.80,941976.00,96.11,99.33
2009-09-01,97.88,934988.00,96.15,99.03
2009-12-01,98.92,942237.33,97.47,98.87
2010-03-01,97.70,968693.67,98.31,98.30
2010-06-01,97.14,973122.00,99.64,98.00
2010-09-01,102.53,985793.00,101.44,97.47
2010-12-01,102.61,1006577.67,100.61,97.63
2011-03-01,100.13,1066421.00,99.20,97.10
2011-06-01,98.03,1156423.67,98.56,97.27
2011-09-01,102.47,1137371.00,101.01,97.07
2011-12-01,104.55,1172801.67,100.84,96.87
2012-03-01,101.04,1162242.67,102.07,96.70
2012-06-01,100.62,1185510.00,101.32,96.90
2012-09-01,101.92,1224008.33,100.93,96.67
2012-12-01,96.42,1280254.67,101.20,96.43
2013-03-01,83.64,1344495.67,102.44,96.00
2013-06-01,78.70,1541527.00,103.23,96.53
2013-09-01,79.10,1735475.67,104.09,96.60
2013-12-01,77.30,1900658.67,104.05,96.90
2014-03-01,75.48,2072919.33,105.09,96.77
2014-06-01,77.53,2242008.67,103.08,99.13
2014-09-01,76.44,2417902.00,103.17,99.27
2014-12-01,70.95,2612389.67,103.68,99.43
2015-03-01,70.19,2823757.33,105.10,99.30
2015-06-01,69.04,3027634.00,105.22,99.97
2015-09-01,69.90,3235350.00,105.16,100.20
2015-12-01,71.01,3438167.00,104.75,100.50
2016-03-01,75.15,3629453.00,105.27,100.23
2016-06-01,79.05,3815696.33,105.43,100.70
2016-09-01,83.39,4007678.00,105.67,100.57
2016-12-01,79.97,4202820.00,105.96,100.70
2017-03-01,76.29,4402109.33,107.18,100.33
2017-06-01,77.14,4533049.33,107.57,100.73
2017-09-01,75.14,4642893.67,108.19,100.73
2017-12-01,73.63,4742874.00,108.67,101.00
2018-03-01,74.26,4815521.67,108.15,100.77
2018-06-01,74.30,4887763.33,108.69,101.00
2018-09-01,75.37,4949850.67,107.77,101.07
2018-12-01,75.27,5003688.67,108.42,101.33
2019-03-01,75.76,5027542.33,109.01,101.20
2019-06-01,76.26,5062763.67,109.62,101.57
2019-09-01,78.73,5108373.67,109.66,101.63
2019-12-01,77.28,5159345.00,107.67,102.07
2020-03-01,76.70,5182689.33,106.99,101.87
2020-06-01,79.59,5270515.67,98.51,101.90
